ticker,cik,name,sector,sub_industry,ig_name,index_tenure_y,adv_usd,mom_12_1,dd_52w,ret_12m,roic_years,fcf_pos_years,gm,fcf_margin,roic,rev_cagr5,fcf_cagr5,gm_ttm,fcf_margin_ttm,brake_gm,brake_fcf_margin,brake_roic,dq_flags,price,shares_cover,mktcap,ev,ic,stack,revenue_ttm,ebit_ttm,fcf_ttm,fcf_adj_ttm,ebitda_ttm,ni_ttm,nopat_ttm,t_eff,roic_ttm,ev_ebit,ev_fcf,fcf_yield,pe_ttm,fcf_ni,nd_ebitda,goodwill,intangibles,goodwill_share_ic,ev_fcf_self_pct,ev_fcf_self_z,ev_fcf_self_ratio,ev_fcf_self_n,gate_fail_reasons,gates_pass,input_coverage,peer_level,peer_set,pct_roic,pct_fcf_margin,pct_gm,pct_roic_years,pct_fcf_pos_years,pct_fcf_ni,pct_nd_ebitda,pct_ev_ebit,pct_mom_sector,quality_weight_used,quality_score,quality_component_values,cheapness_score,quality_floor_pass,residual,residual_fitted,residual_pct,composite,flag_derated_quality,evidence_derated,flag_beaten_but_delivering,evidence_beaten
NVDA,1045810,Nvidia,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,24.78028747433265,26553671639.404716,0.26783930991854477,-0.05133594504880268,0.23053077485356233,7.0,5.0,0.6812645648281168,0.30037149871533764,0.8681689785553793,0.6689858183148778,,0.7467439020365053,0.3953031653299007,1.0961144034034838,1.316047517892268,0.9734364233761907,,218.2899932861328,24100000000.0,5260788838195.801,5228083838195.801,196279000000.0,-32705000000.0,302970000000.0,197579000000.0,127006000000.0,119765000000.0,201266000000.0,192880000000.0,165876816790.93597,0.16045320205621064,0.8451073053711093,26.460726282630244,43.65285215376613,0.022908010603236734,27.27493176169536,0.6584715885524679,-0.16249639780191388,21125000000.0,2998000000.0,0.12290158396975734,,,,,['fcf_cagr5 gate'],False,0.9,sector,Information Technology,100.0,90.9090909090909,60.0,45.45454545454545,8.333333333333332,16.666666666666664,72.72727272727273,50.0,66.66666666666666,0.9999999999999999,54.9659090909091,"{'profitability': 83.6, 'consistency': 26.9, 'accounting': 16.7, 'balance': 72.7}",,False,0.2630841611315158,33.55495224614094,,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": null, ""self_z"": null, ""median_ratio"": null, ""fcf_yield"": 0.022908010603236734, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0961144034034838, ""fcf_margin"": 1.316047517892268, ""roic"": 0.9734364233761907}}",False,"{""floor"": false, ""mom_sector_pct"": 66.66666666666666, ""eps_rev_proxy"": null}"
AAPL,320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware and Equipment,43.780971937029435,16038535929.281082,0.3118302195942122,-0.0035459441610576903,0.42477633147368743,10.0,10.0,0.4446632673722596,0.2357035364187658,0.8363871871701066,0.08677354924090741,0.061266824126846364,0.4865291555900202,0.2634338925031543,1.094151892656138,1.1176493000729568,1.0844822458532013,,332.2699890136719,14594180000.0,4849208028263.55,4882876028263.55,141188000000.0,33668000000.0,466823000000.0,154859000000.0,136683000000.0,122977000000.0,167959000000.0,128930000000.0,128064159621.82341,0.17302733698510642,0.907047055145079,31.531109126776936,39.70560371665881,0.025185361923622935,37.611169070530906,1.0601334057240364,0.2004536821486196,5889000000.0,2149000000.0,0.05693118395331048,85.76923076923076,0.9474277334789288,1.1792251003865357,260.0,[],True,1.0,sector,Information Technology,90.9090909090909,54.54545454545454,30.0,86.36363636363636,62.5,33.33333333333333,45.45454545454546,25.0,75.0,0.9999999999999999,56.13825757575758,"{'profitability': 58.5, 'consistency': 74.4, 'accounting': 33.3, 'balance': 45.5}",18.585020341792763,False,0.16855947636444313,33.54651062930064,,37.361638958775174,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": 85.76923076923076, ""self_z"": 0.9474277334789288, ""median_ratio"": 1.1792251003865357, ""fcf_yield"": 0.025185361923622935, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 1.094151892656138, ""fcf_margin"": 1.1176493000729568, ""roic"": 1.0844822458532013}}",False,"{""floor"": false, ""mom_sector_pct"": 75.0, ""eps_rev_proxy"": null}"
MSFT,789019,Microsoft,Information Technology,Systems Software,Software and Services,32.27926078028747,14567583780.219025,-0.022283840011624423,-0.04564864356012788,-0.019988469745512494,7.0,10.0,0.687708079904994,0.23212217229294924,0.40863576432843,0.1457190738095313,0.03604273274160441,0.6794409337058032,0.16448337898800322,0.9879786984612235,0.7086069260993187,0.7249715515875705,,495.6300048828125,7425545491.0,3680323147961.8765,3660306147961.8765,422370000000.0,-20017000000.0,331839000000.0,155237000000.0,66987000000.0,54582000000.0,194237000000.0,133749000000.0,125126818572.44446,0.19396265985271252,0.29624930409935474,23.57882558901471,67.06068205565711,0.014911867421360978,27.516640483008295,0.5008411277841329,-0.10305451587493629,119651000000.0,18609000000.0,0.32734332457324145,98.84615384615385,2.0354863947520445,1.4003313956990033,260.0,[],True,1.0,sector,Information Technology,54.54545454545454,45.45454545454545,70.0,45.45454545454545,62.5,8.333333333333332,54.54545454545455,66.66666666666667,41.66666666666667,0.9999999999999999,46.115530303030305,"{'profitability': 56.7, 'consistency': 54.0, 'accounting': 8.3, 'balance': 54.5}",24.473560226408292,False,0.6360865585723219,33.31239528812105,,35.2945452647193,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 98.84615384615385, ""self_z"": 2.0354863947520445, ""median_ratio"": 1.4003313956990033, ""fcf_yield"": 0.014911867421360978, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 0.9879786984612235, ""fcf_margin"": 0.7086069260993187, ""roic"": 0.7249715515875705}}",False,"{""floor"": false, ""mom_sector_pct"": 41.66666666666667, ""eps_rev_proxy"": null}"
CRM,1108524,Salesforce,Information Technology,Application Software,Software and Services,17.987679671457904,2821069935.557415,-0.18491227874452787,-0.06426442759045548,0.029068469473302327,0.0,10.0,0.7543583833559248,0.1780533061037523,0.0548903812298087,0.14335729427517552,0.2862300905601418,0.772816241066958,0.2614820883972871,1.0244682873794277,1.4685607030791135,1.714042535507176,,247.72000122070312,823000000.0,203873561004.63867,237761782004.63867,72266221000.0,33888221000.0,43938000000.0,8735000000.0,15154000000.0,11489000000.0,,9662000000.0,6799127527.59204,0.221622492548135,0.0940844482180968,27.21943697820706,20.69473252716848,0.048321474978581094,21.100554854547575,1.5684123369902712,,59250000000.0,6142000000.0,0.9048764290580519,11.538461538461538,-1.0113776328444715,0.48125348270350315,260.0,[],True,0.9,sector,Information Technology,9.090909090909092,18.181818181818183,80.0,9.090909090909092,62.5,83.33333333333334,,41.666666666666664,33.33333333333333,0.8999999999999999,46.340488215488215,"{'profitability': 35.8, 'consistency': 35.8, 'accounting': 83.3, 'balance': None}",56.40820719945668,False,-0.45642219251474536,32.66490934901855,,51.37434770747245,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": true, ""self_z"": true, ""median_ratio"": true}, ""yield_arm"": true, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": 11.538461538461538, ""self_z"": -1.0113776328444715, ""median_ratio"": 0.48125348270350315, ""fcf_yield"": 0.048321474978581094, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0244682873794277, ""fcf_margin"": 1.4685607030791135, ""roic"": 1.714042535507176}}",False,"{""floor"": false, ""mom_sector_pct"": 33.33333333333333, ""eps_rev_proxy"": null}"
QCOM,804328,Qualcomm,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,27.140314852840522,2434708017.6145806,0.04014357416943182,-0.26844022803177214,0.14786818866348894,10.0,10.0,,0.1935039362198669,0.44486569161781153,0.13480513327048627,0.23808081787161428,,0.16279016996074339,,0.8412757545964062,0.5129665315292227,,181.97000122070312,1050000000.0,191068501281.73828,200398501281.73828,36988000000.0,9330000000.0,44069000000.0,10220000000.0,10416000000.0,7174000000.0,11793000000.0,9260000000.0,8440706386.014984,0.17409917945058864,0.22820121082553757,19.6084639218922,27.933997948388384,0.035798670918771716,20.633747438632643,1.1248380129589632,0.7911472907657084,14274000000.0,74000000.0,0.3879095923002055,84.23076923076923,1.1766839668525648,1.2450930053188103,260.0,[],True,0.9,sector,Information Technology,63.63636363636363,36.36363636363637,,86.36363636363636,62.5,41.66666666666667,27.272727272727266,83.33333333333334,50.0,0.9999999999999999,52.168560606060616,"{'profitability': 50.0, 'consistency': 74.4, 'accounting': 41.7, 'balance': 27.3}",41.621954216807985,False,-0.17691562705436725,33.34007538750412,,46.8952574114343,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": false, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 84.23076923076923, ""self_z"": 1.1766839668525648, ""median_ratio"": 1.2450930053188103, ""fcf_yield"": 0.035798670918771716, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": null, ""fcf_margin"": 0.8412757545964062, ""roic"": 0.5129665315292227}}",False,"{""floor"": false, ""mom_sector_pct"": 50.0, ""eps_rev_proxy"": null}"
CSCO,858877,Cisco,Information Technology,Communications Equipment,Technology Hardware and Equipment,32.77754962354552,2310781673.5418687,0.7133997922821329,-0.07658735920600512,0.7203036665258549,10.0,10.0,0.6389395685235996,0.18949024147046223,0.28746408873207285,0.04915047605967504,-0.028620952708283687,0.645242795104619,0.14112909593367548,1.0098651373174217,0.7447829230597857,0.7521379298805595,,112.12999725341797,3942586873.0,442082255240.85175,450701255240.85175,58904000000.0,8619000000.0,63325000000.0,15368000000.0,12767000000.0,8937000000.0,16068000000.0,13267000000.0,12735789618.339684,0.17127865575613718,0.21621264461394274,29.327255026083535,50.4309337854819,0.019829099422463616,33.32194582353597,0.9623125047109369,0.5364077669902912,59477000000.0,7557000000.0,1.1380211870161618,93.46153846153847,2.700769968935067,3.1333024988001412,260.0,[],True,1.0,sector,Information Technology,45.45454545454545,27.27272727272727,50.0,86.36363636363636,62.5,25.0,36.36363636363637,33.33333333333334,91.66666666666666,0.9999999999999999,45.6534090909091,"{'profitability': 40.9, 'consistency': 74.4, 'accounting': 25.0, 'balance': 36.4}",17.12520041497438,False,0.4181141921328342,33.19803077815752,,31.38930475294174,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 93.46153846153847, ""self_z"": 2.700769968935067, ""median_ratio"": 3.1333024988001412, ""fcf_yield"": 0.019829099422463616, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0098651373174217, ""fcf_margin"": 0.7447829230597857, ""roic"": 0.7521379298805595}}",False,"{""floor"": false, ""mom_sector_pct"": 91.66666666666666, ""eps_rev_proxy"": null}"
UNH,731766,UnitedHealth Group,Health Care,Managed Health Care,Health Care Equipment and Services,32.19712525667351,2076763480.064677,0.17014863786403223,-0.11404804187973838,0.10420339708640847,7.0,10.0,,0.056981498442376356,0.16799688955692765,0.11721651214881779,,,0.050194499798946524,,0.8808911869825025,0.720563516050539,,379.0899963378906,897594847.0,340269227262.1395,388863227262.1395,153107000000.0,48594000000.0,450129000000.0,21676000000.0,23617000000.0,22594000000.0,,14122000000.0,18533974311.926605,0.14495412844036698,0.12105242942469388,17.939805649665047,17.210906756755755,0.05810269116747568,24.09497431398807,1.6723551904829344,,110645000000.0,2795000000.0,0.7409197489337522,26.153846153846157,-0.1669249800356705,0.8319973611491898,260.0,['fcf_cagr5 gate'],False,0.8,sector,Health Care,75.0,37.5,,87.5,75.0,100.0,,62.5,50.0,0.8999999999999999,72.91666666666667,"{'profitability': 56.2, 'consistency': 81.2, 'accounting': 100.0, 'balance': None}",62.06316029141917,True,-0.6808551563212184,34.00128958747698,41.66666666666667,67.48991347904293,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": true, ""residual_arm"": false, ""brakes"": {""gm"": false, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 26.153846153846157, ""self_z"": -0.1669249800356705, ""median_ratio"": 0.8319973611491898, ""fcf_yield"": 0.05810269116747568, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": 41.66666666666667, ""brake_values"": {""gm"": null, ""fcf_margin"": 0.8808911869825025, ""roic"": 0.720563516050539}}",False,"{""floor"": true, ""mom_sector_pct"": 50.0, ""eps_rev_proxy"": null}"
ADBE,796343,Adobe Inc.,Information Technology,Application Software,Software and Services,29.352498288843258,1329439305.966992,-0.24427524592437977,-0.31065865008214055,-0.27802265198254206,10.0,10.0,0.8841245778690814,0.3178719147729066,0.5715377896003243,0.13057654594156753,0.13166711980319734,0.8940392094610683,0.32744662274783715,1.0112140662528386,1.03012127693562,1.2550153438062182,,252.22999572753906,397500000.0,100261423301.69678,98798423301.69678,10055000000.0,-1463000000.0,25198000000.0,9090000000.0,10280000000.0,8251000000.0,9849000000.0,7229000000.0,7212337833.388212,0.20656349467676435,0.7172886955134969,10.868913454532098,11.974115052926527,0.08351347849756927,13.869335081158773,1.4220500760824457,-0.14854299928926795,14041000000.0,1031000000.0,1.4989557434112382,7.307692307692308,-1.5377705846824268,0.3720827394031251,260.0,[],True,1.0,sector,Information Technology,81.81818181818183,100.0,100.0,86.36363636363636,62.5,58.333333333333336,63.63636363636363,91.66666666666667,25.0,0.9999999999999999,78.91098484848486,"{'profitability': 93.9, 'consistency': 74.4, 'accounting': 58.3, 'balance': 63.6}",83.14227884338843,True,-1.0264627264211237,33.421852998982416,8.333333333333332,81.02663184593663,True,"{""floor"": true, ""depressed_arms"": {""self_pct"": true, ""self_z"": true, ""median_ratio"": true}, ""yield_arm"": true, ""residual_arm"": true, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": 7.307692307692308, ""self_z"": -1.5377705846824268, ""median_ratio"": 0.3720827394031251, ""fcf_yield"": 0.08351347849756927, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": 8.333333333333332, ""brake_values"": {""gm"": 1.0112140662528386, ""fcf_margin"": 1.03012127693562, ""roic"": 1.2550153438062182}}",False,"{""floor"": true, ""mom_sector_pct"": 25.0, ""eps_rev_proxy"": null}"
PEP,77476,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Food Beverage and Tobacco,69.52224503764545,1095248144.0638907,0.009867609607965955,-0.17608239002718484,-0.011749229708314601,10.0,10.0,0.5385972080414163,0.07609798619323727,0.15382900276402628,0.0594397460523417,0.03779825265584025,0.5395649302402378,0.09249360191529761,1.0017967456651706,1.2154540026910383,1.067434171205139,,136.32000732421875,1364891558.0,186062027183.32434,233887027183.32434,69923000000.0,47825000000.0,96904000000.0,14362000000.0,9282000000.0,8963000000.0,17961000000.0,10451000000.0,11481519805.367598,0.2005626092906561,0.1642023340727314,16.285129312304996,26.094725781917255,0.038321920236194455,17.803275015149204,0.8881446751507033,2.653137353154056,19093000000.0,15177000000.0,0.49011055017662286,1.153846153846154,-1.7919295753006919,0.6999034233816925,260.0,[],True,1.0,market,MARKET,66.66666666666666,47.05882352941176,66.66666666666666,93.75,66.66666666666666,11.11111111111111,22.222222222222214,55.55555555555556,33.33333333333333,0.9999999999999999,51.55535130718955,"{'profitability': 60.1, 'consistency': 80.2, 'accounting': 11.1, 'balance': 22.2}",62.28088979634853,False,0.14530847190644813,22.565557619668756,,56.918120551769036,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": true, ""self_z"": true, ""median_ratio"": true}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": 1.153846153846154, ""self_z"": -1.7919295753006919, ""median_ratio"": 0.6999034233816925, ""fcf_yield"": 0.038321920236194455, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0017967456651706, ""fcf_margin"": 1.2154540026910383, ""roic"": 1.067434171205139}}",False,"{""floor"": false, ""mom_sector_pct"": 33.33333333333333, ""eps_rev_proxy"": null}"
TMO,97745,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Pharmaceuticals Biotechnology and Life Sciences,22.105407255304584,1080947070.149725,0.23145761270514642,-0.030908849306883868,0.2765260644375831,5.0,10.0,,0.15323784555708894,0.12231647635766617,0.06699288544037874,-0.015811300096795544,,0.15104886049723756,,0.9857151146187586,0.8140779051777547,,609.8200073242188,369747286.0,225479292656.63,245726292656.63,72926000000.0,20247000000.0,46336000000.0,8145000000.0,7318000000.0,6999000000.0,11087000000.0,6984000000.0,7261616721.04174,0.10845712448842972,0.09957514084197323,30.168973929604665,35.10877163260894,0.028482910494971644,32.285122087146334,1.047823596792669,1.8255614683863985,54832000000.0,15839000000.0,0.9690782436990922,56.53846153846154,0.13579923322689894,1.0191452625979476,260.0,[],True,0.9,sector,Health Care,62.5,87.5,,62.5,75.0,57.14285714285714,28.57142857142857,12.5,62.5,0.9999999999999999,65.2232142857143,"{'profitability': 75.0, 'consistency': 68.8, 'accounting': 57.1, 'balance': 28.6}",28.765461383785606,False,0.03515527603688762,33.895956408171735,,46.994337834749956,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": false, ""fcf_margin"": true, ""roic"": false}, ""self_pct"": 56.53846153846154, ""self_z"": 0.13579923322689894, ""median_ratio"": 1.0191452625979476, ""fcf_yield"": 0.028482910494971644, ""yield_threshold"": 0.0483, ""gs10"": 0.0483, ""residual_pct"": null, ""brake_values"": {""gm"": null, ""fcf_margin"": 0.9857151146187586, ""roic"": 0.8140779051777547}}",False,"{""floor"": false, ""mom_sector_pct"": 62.5, ""eps_rev_proxy"": null}"
