ticker,reasons
SPY,no companyfacts
TSM,insufficient data (prices/SEC)
DIA,no companyfacts
BABA,insufficient data (prices/SEC)
NOK,insufficient data (prices/SEC)
SPOT,insufficient data (prices/SEC)
NVO,insufficient data (prices/SEC)
SAP,insufficient data (prices/SEC)
MDY,no companyfacts
ASX,insufficient data (prices/SEC)
CNQ,insufficient data (prices/SEC)
UMC,insufficient data (prices/SEC)
CCJ,insufficient data (prices/SEC)
SU,insufficient data (prices/SEC)
BTI,insufficient data (prices/SEC)
UL,insufficient data (prices/SEC)
ENB,insufficient data (prices/SEC)
RIO,insufficient data (prices/SEC)
CP,insufficient data (prices/SEC)
BHP,insufficient data (prices/SEC)
ONON,insufficient data (prices/SEC)
CVE,insufficient data (prices/SEC)
TECK,insufficient data (prices/SEC)
CNI,insufficient data (prices/SEC)
GSK,insufficient data (prices/SEC)
RACE,insufficient data (prices/SEC)
PCOR,features error: KeyError: 'start'
GFI,insufficient data (prices/SEC)
NYT,features error: KeyError: 'start'
NIO,insufficient data (prices/SEC)
STLA,insufficient data (prices/SEC)
SONY,insufficient data (prices/SEC)
DEO,insufficient data (prices/SEC)
HLN,insufficient data (prices/SEC)
XPEV,insufficient data (prices/SEC)
RELX,insufficient data (prices/SEC)
BIRK,insufficient data (prices/SEC)
ABEV,insufficient data (prices/SEC)
BCE,insufficient data (prices/SEC)
EMBJ,insufficient data (prices/SEC)
DNN,insufficient data (prices/SEC)
SKM,insufficient data (prices/SEC)
TM,insufficient data (prices/SEC)
TME,insufficient data (prices/SEC)
BTE,insufficient data (prices/SEC)
TU,insufficient data (prices/SEC)
SQM,insufficient data (prices/SEC)
IMO,insufficient data (prices/SEC)
YPF,insufficient data (prices/SEC)
HMY,insufficient data (prices/SEC)
GGB,insufficient data (prices/SEC)
FSS,no companyfacts
YMM,insufficient data (prices/SEC)
FMX,insufficient data (prices/SEC)
AMX,insufficient data (prices/SEC)
SBSW,insufficient data (prices/SEC)
TAK,insufficient data (prices/SEC)
INSW,features error: KeyError: 'start'
SNN,insufficient data (prices/SEC)
PDI,insufficient data (prices/SEC)
UTZ,features error: KeyError: 'start'
NXE,insufficient data (prices/SEC)
PBA,insufficient data (prices/SEC)
TGB,insufficient data (prices/SEC)
RCI,insufficient data (prices/SEC)
LTM,insufficient data (prices/SEC)
ZTO,insufficient data (prices/SEC)
IHG,insufficient data (prices/SEC)
RDY,insufficient data (prices/SEC)
EC,insufficient data (prices/SEC)
VIPS,insufficient data (prices/SEC)
HMC,insufficient data (prices/SEC)
DXYZ,insufficient data (prices/SEC)
GIB,insufficient data (prices/SEC)
RTO,insufficient data (prices/SEC)
STN,insufficient data (prices/SEC)
TBBB,insufficient data (prices/SEC)
PAC,insufficient data (prices/SEC)
KT,insufficient data (prices/SEC)
OTF,insufficient data (prices/SEC)
PAGS,insufficient data (prices/SEC)
SUZ,insufficient data (prices/SEC)
PHG,insufficient data (prices/SEC)
GOF,insufficient data (prices/SEC)
E,insufficient data (prices/SEC)
SA,insufficient data (prices/SEC)
WIT,insufficient data (prices/SEC)
NOMD,insufficient data (prices/SEC)
SKE,insufficient data (prices/SEC)
PKX,insufficient data (prices/SEC)
VIV,insufficient data (prices/SEC)
ATHM,insufficient data (prices/SEC)
SSL,insufficient data (prices/SEC)
ASR,insufficient data (prices/SEC)
FMS,insufficient data (prices/SEC)
ZGN,insufficient data (prices/SEC)
DAC,features error: KeyError: 'start'
VET,insufficient data (prices/SEC)
AAUC,insufficient data (prices/SEC)
KOF,insufficient data (prices/SEC)
WDS,insufficient data (prices/SEC)
CLM,insufficient data (prices/SEC)
PTY,insufficient data (prices/SEC)
OGC,insufficient data (prices/SEC)
TKC,insufficient data (prices/SEC)
DQ,insufficient data (prices/SEC)
PSO,insufficient data (prices/SEC)
BCAT,insufficient data (prices/SEC)
UTG,insufficient data (prices/SEC)
WPP,insufficient data (prices/SEC)
TLK,insufficient data (prices/SEC)
JKS,insufficient data (prices/SEC)
TIMB,insufficient data (prices/SEC)
LPL,insufficient data (prices/SEC)
NEA,insufficient data (prices/SEC)
CRF,insufficient data (prices/SEC)
PDO,insufficient data (prices/SEC)
MNSO,insufficient data (prices/SEC)
PDS,insufficient data (prices/SEC)
OBE,insufficient data (prices/SEC)
RQI,insufficient data (prices/SEC)
USA,insufficient data (prices/SEC)
JPC,insufficient data (prices/SEC)
NAK,insufficient data (prices/SEC)
CHT,insufficient data (prices/SEC)
ECAT,insufficient data (prices/SEC)
STVN,insufficient data (prices/SEC)
DRD,insufficient data (prices/SEC)
NAD,no companyfacts
ADX,insufficient data (prices/SEC)
NMZ,no companyfacts
UTF,insufficient data (prices/SEC)
NZF,insufficient data (prices/SEC)
DNP,insufficient data (prices/SEC)
HYT,insufficient data (prices/SEC)
TK,insufficient data (prices/SEC)
MANU,insufficient data (prices/SEC)
NXG,insufficient data (prices/SEC)
NVG,no companyfacts
GOOS,insufficient data (prices/SEC)
CYD,insufficient data (prices/SEC)
BSTZ,no companyfacts
CANF,insufficient data (prices/SEC)
TYG,insufficient data (prices/SEC)
DSL,insufficient data (prices/SEC)
NAC,insufficient data (prices/SEC)
OGG,insufficient data (prices/SEC)
CSAN,insufficient data (prices/SEC)
ATS,insufficient data (prices/SEC)
EVTL,insufficient data (prices/SEC)
RLX,insufficient data (prices/SEC)
RVT,no companyfacts
BAK,insufficient data (prices/SEC)
HQH,no companyfacts
BTX,no companyfacts
SPXX,insufficient data (prices/SEC)
MQY,insufficient data (prices/SEC)
KYN,insufficient data (prices/SEC)
SID,insufficient data (prices/SEC)
GAB,no companyfacts
KBDC,insufficient data (prices/SEC)
ASGI,insufficient data (prices/SEC)
BDJ,no companyfacts
NUV,no companyfacts
LGPS,insufficient data (prices/SEC)
FSCO,insufficient data (prices/SEC)
BST,insufficient data (prices/SEC)
PHK,insufficient data (prices/SEC)
LOMA,insufficient data (prices/SEC)
RERE,insufficient data (prices/SEC)
AOD,insufficient data (prices/SEC)
TEO,insufficient data (prices/SEC)
MHD,no companyfacts
JFR,no companyfacts
MUC,insufficient data (prices/SEC)
SLI,insufficient data (prices/SEC)
EXG,insufficient data (prices/SEC)
PCN,insufficient data (prices/SEC)
THQ,no companyfacts
BIT,insufficient data (prices/SEC)
GFR,insufficient data (prices/SEC)
ETY,insufficient data (prices/SEC)
EVV,insufficient data (prices/SEC)
TWN,insufficient data (prices/SEC)
ASA,insufficient data (prices/SEC)
PFN,insufficient data (prices/SEC)
NBXG,insufficient data (prices/SEC)
ECC,insufficient data (prices/SEC)
MYI,insufficient data (prices/SEC)
HQL,no companyfacts
WRN,insufficient data (prices/SEC)
AWF,no companyfacts
MMA,insufficient data (prices/SEC)
STK,insufficient data (prices/SEC)
GGN,insufficient data (prices/SEC)
SRV,insufficient data (prices/SEC)
PHI,insufficient data (prices/SEC)
DSU,insufficient data (prices/SEC)
MUA,insufficient data (prices/SEC)
BTZ,no companyfacts
PML,insufficient data (prices/SEC)
NRK,insufficient data (prices/SEC)
GDV,no companyfacts
WDI,no companyfacts
NMCO,insufficient data (prices/SEC)
EOS,insufficient data (prices/SEC)
TV,insufficient data (prices/SEC)
JQC,no companyfacts
TII,insufficient data (prices/SEC)
BHK,no companyfacts
PAXS,insufficient data (prices/SEC)
EVT,insufficient data (prices/SEC)
ACP,insufficient data (prices/SEC)
ETW,insufficient data (prices/SEC)
BQ,insufficient data (prices/SEC)
PTA,no companyfacts
IGR,insufficient data (prices/SEC)
BMEZ,insufficient data (prices/SEC)
DLY,insufficient data (prices/SEC)
EDD,no companyfacts
WIW,no companyfacts
ETV,insufficient data (prices/SEC)
NFGC,insufficient data (prices/SEC)
NCDL,insufficient data (prices/SEC)
BCX,no companyfacts
BBN,insufficient data (prices/SEC)
PDX,insufficient data (prices/SEC)
EMO,no companyfacts
KIO,insufficient data (prices/SEC)
NXP,insufficient data (prices/SEC)
ETG,insufficient data (prices/SEC)
RNP,no companyfacts
HUYA,insufficient data (prices/SEC)
BTT,insufficient data (prices/SEC)
VMO,insufficient data (prices/SEC)
THW,insufficient data (prices/SEC)
CII,insufficient data (prices/SEC)
VVR,insufficient data (prices/SEC)
BUI,insufficient data (prices/SEC)
BME,insufficient data (prices/SEC)
RA,insufficient data (prices/SEC)
FAX,no companyfacts
CDLR,insufficient data (prices/SEC)
AIO,no companyfacts
BLW,insufficient data (prices/SEC)
MEGI,insufficient data (prices/SEC)
AWP,insufficient data (prices/SEC)
CET,no companyfacts
EGG,insufficient data (prices/SEC)
CCU,insufficient data (prices/SEC)
FPF,insufficient data (prices/SEC)
EMD,insufficient data (prices/SEC)
ISD,no companyfacts
IGD,no companyfacts
VKQ,insufficient data (prices/SEC)
MYN,no companyfacts
NKX,no companyfacts
RMT,no companyfacts
LZM,insufficient data (prices/SEC)
GHY,no companyfacts
AVK,insufficient data (prices/SEC)
BTO,insufficient data (prices/SEC)
NVA,insufficient data (prices/SEC)
JRI,no companyfacts
KF,no companyfacts
PFL,insufficient data (prices/SEC)
EAD,no companyfacts
KTF,no companyfacts
IQI,insufficient data (prices/SEC)
FRA,insufficient data (prices/SEC)
NIE,no companyfacts
PEO,no companyfacts
IFN,insufficient data (prices/SEC)
BGB,insufficient data (prices/SEC)
HTD,no companyfacts
FFC,no companyfacts
BGR,no companyfacts
PDT,insufficient data (prices/SEC)
GGT,insufficient data (prices/SEC)
NDMO,insufficient data (prices/SEC)
GUG,insufficient data (prices/SEC)
XFLT,insufficient data (prices/SEC)
EIM,insufficient data (prices/SEC)
PSBD,insufficient data (prices/SEC)
MFM,no companyfacts
VGM,insufficient data (prices/SEC)
LEO,no companyfacts
GUT,no companyfacts
GAM,no companyfacts
BRW,insufficient data (prices/SEC)
RIV,insufficient data (prices/SEC)
NML,no companyfacts
DHY,insufficient data (prices/SEC)
NOA,insufficient data (prices/SEC)
MMT,no companyfacts
EOI,insufficient data (prices/SEC)
STEW,insufficient data (prices/SEC)
GBAB,insufficient data (prices/SEC)
ARMP,features error: KeyError: 'start'
BGT,insufficient data (prices/SEC)
NMAI,no companyfacts
SCD,no companyfacts
AGD,insufficient data (prices/SEC)
FTHY,insufficient data (prices/SEC)
MMU,insufficient data (prices/SEC)
HIO,no companyfacts
HIX,insufficient data (prices/SEC)
ASG,insufficient data (prices/SEC)
LDP,no companyfacts
BGY,no companyfacts
IIM,insufficient data (prices/SEC)
