ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
ACN,195.0,2026-10-01,17,False,False,0.09663150953671405,0.10224971178139884,0.3931583284656718,0.5652509295654298,2026-10-09,0.4377183150904156,45.0,0.2450592885375494,False
DECK,80.54000091552734,2026-10-22,38,False,False,0.11469110168485899,0.12184679717296777,0.3376519153755867,0.46484910156250003,2026-10-09,0.3767109866544831,1236.0,0.28571428571428564,False
PAYC,222.85000610351562,2026-11-04,51,False,False,0.04700341394016397,0.049405527417143734,0.6963378878224336,0.4349421740722656,2026-10-16,-0.375386315065516,82.0,0.24277456647398843,False
RMD,222.99000549316406,2026-10-29,45,False,False,0.05060481042825189,0.053418646130684894,0.33452201731973225,0.33014585876464847,2026-10-16,-0.013081825196878172,191.0,0.2184873949579832,False
ROL,35.310001373291016,2026-10-28,44,False,False,0.03413154761535463,0.03592888336360492,0.19608407398827923,0.3188544677734375,2026-10-16,0.6261109904953157,479.0,0.16216216216216217,False
MSCI,553.6500244140625,2026-10-20,36,False,False,0.0332406252319175,0.03481774887480946,0.21763055583570798,0.3264685273742675,2026-10-16,0.5001042758936971,25.0,0.38271604938271614,False
HEI,303.75,2026-12-17,94,False,False,0.025553995786560105,0.02697273623321025,0.23945461534310902,,,,20.0,0.42038216560509556,False
MA,574.4199829101562,2026-10-29,45,False,False,0.032467021361189,0.03421627647449032,0.1811419912298881,0.23532869171142576,2026-10-09,0.2991393663812001,462.0,0.08510638297872336,False
PM,194.86000061035156,2026-10-21,37,False,False,0.04166072856820104,0.04384250296897927,0.22740001915851196,0.31326980682373046,2026-10-09,0.3776155691761922,93.0,0.18181818181818185,False
WST,355.20001220703125,2026-10-22,38,False,False,0.01711699714384144,0.018073374200947283,0.1876468587354844,0.31165239135742184,2026-10-16,0.660845235873313,2.0,0.21428571428571427,False
WTS,351.92999267578125,2026-10-28,44,False,False,0.029110552305834994,0.03073687923023174,0.27033983925396093,,,,8.0,0.5,False
GRMN,280.3800048828125,2026-10-28,44,False,False,0.02609703645452873,0.027619612819794494,0.25750412258857436,0.30503014312744137,2026-10-16,0.18456411517263915,48.0,0.28571428571428586,False
V,375.2799987792969,2026-10-27,43,False,False,0.029569321463689152,0.031162817743947042,0.18650472016102482,0.21091487335205078,2026-10-09,0.1308822273771446,1088.0,0.08955223880597014,True
KEYS,314.9599914550781,2026-11-24,71,False,False,0.024570779729297658,0.025932122702708924,0.4486462344285817,0.39285885467529297,2026-10-16,-0.12434603362790353,30.0,0.13333333333333333,False
ANET,187.80999755859375,2026-11-03,50,False,False,0.02088425209774961,0.022056674050244116,0.5002519852442119,0.5056812127685547,2026-10-09,0.010852985464300247,1566.0,0.07826086956521727,True
