ticker,cik,name,sector,sub_industry,ig_name,index_tenure_y,trading_history_y,adv_usd,mom_12_1,dd_52w,ret_12m,fcf_pos_years,gm,gm_stability,fcf_margin,fcf_margin_median_5y,fcf_cov,fcf_owner_margin,fcf_owner_margin_median_5y,fcf_owner_cov,rev_pos_years,rev_yoy_n,fcf_cagr5_base_fallback,rev_cagr5,fcf_cagr5,fcf_owner_cagr5,fcf_owner_cagr5_base_fallback,gm_ttm,fcf_margin_ttm,fcf_owner_margin_ttm,brake_gm,brake_fcf_margin,brake_fcf_owner_margin,brake_roic,ev_fcf_owner_self_pct,ev_fcf_owner_self_z,ev_fcf_owner_self_ratio,ev_fcf_owner_self_n,dq_flags,price,shares_cover,mktcap,ev,ic,stack,cfo_ttm,capex_ttm,sbc_ttm,dna_ttm,net_debt,revenue_ttm,ebit_ttm,fcf_ttm,fcf_adj_ttm,fcf_owner_ttm,ebitda_ttm,ni_ttm,nopat_ttm,t_eff,roic_ttm,ev_ebit,ev_fcf,fcf_yield,ev_fcf_owner,fcf_owner_yield,pe_ttm,fcf_ni,nd_ebitda,goodwill,intangibles,goodwill_share_ic,roic_years,roic,roic_median_5y,ev_fcf_self_pct,ev_fcf_self_z,ev_fcf_self_ratio,ev_fcf_self_n,gate_fail_reasons,gates_pass,input_coverage,peer_level,peer_set,pct_roic,pct_fcf_margin,pct_gm,pct_roic_years,pct_fcf_pos_years,pct_fcf_ni,pct_nd_ebitda,pct_ev_ebit,pct_mom_sector,quality_weight_used,quality_score,quality_component_values,cheapness_score,quality_floor_pass,residual,residual_fitted,residual_pct,composite,eps_rev_proxy,flag_derated_quality,evidence_derated,flag_beaten_but_delivering,evidence_beaten
NVDA,1045810,Nvidia,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,,5.9986310746064335,24761605876.479576,0.21692345625827025,-0.07710703429091736,0.20489487447028587,5.0,0.6812645648281168,0.09567708242734539,0.30037149871533764,0.38527953776960705,0.8916069834336632,0.304667380432823,0.37807360231115195,0.9581204512587501,8,9,False,0.6689858183148778,,,False,0.7467439020365053,0.3953031653299007,0.4074066739281117,1.0961144034034838,1.316047517892268,1.3372178975948559,0.9734364233761907,53.84615384615385,0.07641831633546638,1.0406022271063233,260.0,,212.36000061035156,24100000000.0,5117876014709.473,5085171014709.473,196279000000.0,-32705000000.0,134360000000.0,7354000000.0,7241000000.0,3687000000.0,-32705000000.0,302970000000.0,197579000000.0,127006000000.0,119765000000.0,123432000000.0,201266000000.0,192880000000.0,165876816790.93597,0.16045320205621064,0.8451073053711093,25.737406377750027,42.45957512386317,0.023551813627027535,41.19815780923482,0.024272929984647123,26.533990121886525,0.6584715885524679,-0.16249639780191388,21125000000.0,2998000000.0,0.12290158396975734,7.0,0.8681689785553793,1.0155847417253008,,,,,['fcf_cagr5 gate'],False,0.9,ig,Semiconductors and Semiconductor Equipment,100.0,85.71428571428571,92.85714285714286,61.53846153846154,10.714285714285714,23.076923076923077,58.33333333333333,78.57142857142857,48.38709677419355,1.0,59.8767362017099,"{'profitability': 100.0, 'growth': 100.0, 'balance': 100.0, 'stability': 59.9}",,False,-0.4620946277228599,67.4001388122078,,,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": null, ""self_z"": null, ""median_ratio"": null, ""fcf_yield"": 0.023551813627027535, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0961144034034838, ""fcf_margin"": 1.316047517892268, ""roic"": 0.9734364233761907}}",False,"{""floor"": false, ""mom_sector_pct"": 48.38709677419355, ""eps_rev_proxy"": null}"
AAPL,320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware and Equipment,,5.9986310746064335,15183197396.944366,0.2647362833130369,0.0,0.36694545240626675,10.0,0.4446632673722596,0.04224771564223663,0.2357035364187658,0.23248509500651965,0.06674528697417795,0.23456852980922305,0.23194110716560465,0.06912796148743436,7,9,False,0.08677354924090741,0.061266824126846364,0.06720592945686343,False,0.4865291555900202,0.2634338925031543,0.2568810876927658,1.094151892656138,1.1176493000729568,1.0951217023941353,1.0844822458532013,88.46153846153845,1.094995401799863,1.2055142056805022,260.0,,334.3500061035156,14594180000.0,4879564172075.806,4913232172075.806,141188000000.0,33668000000.0,146724000000.0,10041000000.0,13706000000.0,13100000000.0,33668000000.0,466823000000.0,154859000000.0,136683000000.0,122977000000.0,119918000000.0,167959000000.0,128930000000.0,128064159621.82341,0.17302733698510642,0.907047055145079,31.727133534865946,39.95244779166678,0.025029755503706043,40.97159869307198,0.024407151097306175,37.84661577659044,1.0601334057240364,0.2004536821486196,5889000000.0,2149000000.0,0.05693118395331048,10.0,0.8363871871701066,0.8223395142877403,87.3076923076923,0.9697754863609296,1.1829919868473942,260.0,[],True,1.0,sector,Information Technology,88.88888888888889,77.41935483870968,10.714285714285714,89.65517241379311,69.35483870967742,43.333333333333336,46.42857142857143,67.74193548387098,51.61290322580645,1.0,69.20859678610759,"{'profitability': 96.5, 'growth': 61.7, 'balance': 93.3, 'stability': 81.3}",35.199928348904685,True,0.006647398052884501,39.687748722753426,46.0,52.204262567506134,-1.0,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": 87.3076923076923, ""self_z"": 0.9697754863609296, ""median_ratio"": 1.1829919868473942, ""fcf_yield"": 0.025029755503706043, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": 46.0, ""brake_values"": {""gm"": 1.094151892656138, ""fcf_margin"": 1.1176493000729568, ""roic"": 1.0844822458532013}}",False,"{""floor"": true, ""mom_sector_pct"": 51.61290322580645, ""eps_rev_proxy"": -1.0}"
MSFT,789019,Microsoft,Information Technology,Systems Software,Software and Services,,5.9986310746064335,13719892829.649801,-0.059301608967224806,-0.02501522538148071,-0.014322908157851977,10.0,0.687708079904994,0.008802118348736152,0.23212217229294924,0.2353018899086898,0.07566316835758023,0.3475709904518274,0.3414263605514617,0.2717266509976591,9,9,False,0.1457190738095313,0.03604273274160441,0.1710571643865748,False,0.6794409337058032,0.16448337898800322,0.396366912870398,0.9879786984612235,0.7086069260993187,1.1403912402330758,0.7249715515875705,22.692307692307693,-1.2500957111553428,0.8315184581708955,260.0,,506.345703125,7425545491.0,3759893052727.0684,3739876052727.0684,422370000000.0,-20017000000.0,182935000000.0,115948000000.0,12405000000.0,39000000000.0,-20017000000.0,331839000000.0,155237000000.0,66987000000.0,54582000000.0,131530000000.0,194237000000.0,133749000000.0,125126818572.44446,0.19396265985271252,0.29624930409935474,24.09139607649638,68.51848691376404,0.014594601326479663,28.43363531306218,0.03516961475343282,28.11156010682,0.5008411277841329,-0.10305451587493629,119651000000.0,18609000000.0,0.32734332457324145,7.0,0.40863576432843,0.353169746630197,99.61538461538461,2.1646841699122388,1.429427507247998,260.0,[],True,1.0,ig,Software and Services,77.77777777777779,81.81818181818183,12.5,70.0,72.72727272727273,9.090909090909092,27.272727272727266,63.63636363636363,25.806451612903224,1.0,78.80908297051678,"{'profitability': 82.9, 'growth': 65.0, 'balance': 100.0, 'stability': 95.3}",23.469289488852986,True,0.2640729460098368,52.616546619964836,66.0,51.13918622968488,5.0,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 99.61538461538461, ""self_z"": 2.1646841699122388, ""median_ratio"": 1.429427507247998, ""fcf_yield"": 0.014594601326479663, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": 66.0, ""brake_values"": {""gm"": 0.9879786984612235, ""fcf_margin"": 0.7086069260993187, ""roic"": 0.7249715515875705}}",False,"{""floor"": true, ""mom_sector_pct"": 25.806451612903224, ""eps_rev_proxy"": 5.0}"
TSLA,1318605,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Consumer Durables and Apparel,,5.9986310746064335,12863691095.77265,-0.14835595297970938,-0.25025066650972394,-0.1532391808250454,7.0,0.21003124827237202,0.17260253220457197,0.04115824860039773,0.03580203950351693,0.26305793138250977,0.10326066690731647,0.09012181390111577,0.15969004107452936,8,9,False,0.24630713363610557,,-0.018107452001611013,True,0.18851754987019756,0.018954052828149277,0.0911705382217547,0.8975690589893789,0.4605165057476745,0.8829164187326671,0.27268896330441955,80.76923076923077,1.1153187097826067,1.637119178285804,260.0,,360.7793884277344,3949547394.0,1424915293373.672,1390954893373.672,52897600000.0,-33960400000.0,18685000000.0,12923000000.0,3798000000.0,5440000000.0,-34567400000.0,103619000000.0,4372000000.0,5762000000.0,1964000000.0,9447000000.0,9812000000.0,3804000000.0,3238146060.9545717,0.2593444508338125,0.06121536820110122,318.150707542011,708.2255057910754,0.001411979647475443,147.23773614625512,0.006791737133248732,374.58341045574974,1.5147213459516298,-3.5229718711781493,257000000.0,228000000.0,0.00916865793533166,5.0,0.2244878834086245,0.18126594999483106,94.87179487179486,2.555271943548661,3.402085573453591,234.0,['fcf_cagr5 gate'],False,1.0,market,MARKET,41.66666666666667,12.307692307692308,1.9230769230769231,37.301587301587304,18.181818181818183,82.25806451612904,98.36065573770492,4.615384615384613,33.33333333333333,1.0,43.30939810484206,"{'profitability': 19.1, 'growth': 100.0, 'balance': 100.0, 'stability': 64.0}",5.316981208682582,False,2.9418687918383988,37.3709536440589,,24.313189656762322,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": false, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 94.87179487179486, ""self_z"": 2.555271943548661, ""median_ratio"": 3.402085573453591, ""fcf_yield"": 0.001411979647475443, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": null, ""brake_values"": {""gm"": 0.8975690589893789, ""fcf_margin"": 0.4605165057476745, ""roic"": 0.27268896330441955}}",False,"{""floor"": false, ""mom_sector_pct"": 33.33333333333333, ""eps_rev_proxy"": null}"
AMD,2488,Advanced Micro Devices,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,,5.9986310746064335,11343454654.66125,2.0068619469803854,-0.10787076594529599,2.1622720209999096,8.0,0.4763207320578323,0.03812796112130483,0.08666218676539891,0.08618278886487861,0.5618169170892288,0.03518273970825582,0.08664887081055887,3.0874254692211225,8,9,True,0.2882389065515516,0.2021430186788593,0.033671549650546195,True,0.5320421256506476,0.157559617479724,0.13083161844812977,1.11698292734831,1.8180895654785378,3.7186307698894017,0.5737176178274888,71.7948717948718,0.017738512752289066,1.8981340517435001,195.0,,497.7099914550781,1632475042.0,812499139204.4482,804697139204.4482,59422000000.0,-7802000000.0,10080000000.0,1677000000.0,1895000000.0,2781000000.0,-7802000000.0,41305000000.0,6488000000.0,8403000000.0,6508000000.0,5404000000.0,9269000000.0,6434000000.0,5371098507.438584,0.17214881204707402,0.09038905636697829,124.0285356357041,123.64737848869825,0.00808751477162456,148.9076867513783,0.006715570040851125,126.2821167554318,1.3060304631644388,-0.8417304995145107,25470000000.0,15635000000.0,0.6917471643499041,3.0,0.15754973101446118,0.028160566330584183,62.980769230769226,0.06915390843691754,1.3149709516496697,208.0,[],True,1.0,ig,Semiconductors and Semiconductor Equipment,33.33333333333333,14.285714285714285,28.57142857142857,30.76923076923077,28.57142857142857,84.61538461538461,75.0,14.285714285714292,87.09677419354838,1.0,45.752268178498305,"{'profitability': 24.3, 'growth': 100.0, 'balance': 100.0, 'stability': 65.6}",28.46635468211394,False,0.44055173234111766,79.58949090593792,,37.10931143030612,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": false}, ""self_pct"": 62.980769230769226, ""self_z"": 0.06915390843691754, ""median_ratio"": 1.3149709516496697, ""fcf_yield"": 0.00808751477162456, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": null, ""brake_values"": {""gm"": 1.11698292734831, ""fcf_margin"": 1.8180895654785378, ""roic"": 0.5737176178274888}}",False,"{""floor"": false, ""mom_sector_pct"": 87.09677419354838, ""eps_rev_proxy"": null}"
META,1326801,Meta Platforms,Communication Services,Interactive Media & Services,Media and Entertainment,,5.9986310746064335,9868734932.42606,-0.29121726725877417,-0.10282220923517371,-0.14215899107857977,10.0,0.8071268312398934,0.015834172340424366,0.1786484268578379,0.2226875806140754,0.28802439886762765,0.33623101990695897,0.34386792052845355,0.3212957934039315,8,9,False,0.18511415178759827,0.14349336092767184,0.24804841242061948,False,0.817474052232888,0.0693985024994852,0.3611701358615885,1.0128198203708574,0.3884641119997663,1.0741725613583502,0.7434791527554472,38.46153846153847,-0.3288319028692015,0.9103491612774599,260.0,shares_was_proxy;gm_derived,665.5449829101562,2543000000.0,1692480891540.5273,1715722891540.5273,284463000000.0,23242000000.0,130301000000.0,89325000000.0,25136000000.0,22729000000.0,23242000000.0,228247000000.0,86926000000.0,40976000000.0,15840000000.0,82436000000.0,109655000000.0,68098000000.0,67632726429.32224,0.22195055070609204,0.23775579400246163,19.73774119987722,108.31583911240703,0.009232260103365206,20.812786786604484,0.04804738597733675,24.853606442781395,0.6017210490763312,0.21195567917559618,23406000000.0,3692000000.0,0.09526019201091179,10.0,0.31978811123526785,0.3066290976575339,95.0,2.3391267903668425,2.6195518299319334,260.0,[],True,1.0,market,MARKET,63.33333333333333,58.46153846153847,90.38461538461539,89.68253968253968,64.39393939393939,9.67741935483871,50.81967213114754,80.0,50.0,1.0,65.46084014447328,"{'profitability': 63.9, 'growth': 100.0, 'balance': 92.9, 'stability': 78.5}",29.576695574869213,True,1.0986229510255816,36.104894738789184,94.0,47.51876785967124,,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 95.0, ""self_z"": 2.3391267903668425, ""median_ratio"": 2.6195518299319334, ""fcf_yield"": 0.009232260103365206, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": 94.0, ""brake_values"": {""gm"": 1.0128198203708574, ""fcf_margin"": 0.3884641119997663, ""roic"": 0.7434791527554472}}",False,"{""floor"": true, ""mom_sector_pct"": 50.0, ""eps_rev_proxy"": null}"
GOOGL,1652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Media and Entertainment,,5.9986310746064335,9277639731.414679,0.3563704904057525,-0.1332325186970974,0.36570488856205596,10.0,0.573594087762007,0.025384626097333184,0.1519742783299251,0.14371579289765093,0.0703608442286252,0.24525129852446045,0.24913861572833398,0.27272951812309715,9,9,False,0.1715483907713573,0.1132802934679571,0.15773364508798515,True,0.6089654739316297,0.05635325411670771,0.2954833963567529,1.0616662321392316,0.3708078415372955,1.2048188863199127,0.5986386231562422,,,,,gm_derived,346.9700012207031,12230000000.0,4243443114929.199,4121760114929.199,518797000000.0,-121683000000.0,185675000000.0,132402000000.0,28147000000.0,25782000000.0,-121683000000.0,445866000000.0,147628000000.0,53273000000.0,25126000000.0,131746000000.0,173410000000.0,244205000000.0,120465185969.81311,0.183995001152809,0.23220100727223386,27.91990757125477,164.04362472853614,0.006095939428641785,31.285656603837683,0.03196352925120754,17.37656114710673,0.21814868655432934,-0.701706937316187,57828000000.0,9105000000.0,0.12901578073890174,8.0,0.3878817675478155,0.3755948568568398,99.23076923076923,3.6243811702296336,4.554344803843755,260.0,[],True,1.0,market,MARKET,78.33333333333333,50.76923076923077,44.230769230769226,67.46031746031747,64.39393939393939,1.6129032258064515,73.77049180327869,52.30769230769231,100.0,1.0,78.60092257046284,"{'profitability': 61.3, 'growth': 97.2, 'balance': 100.0, 'stability': 93.9}",18.222843906865144,True,1.532507113399145,35.432351376405585,98.0,48.41188323866399,-1.0,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": false}, ""self_pct"": 99.23076923076923, ""self_z"": 3.6243811702296336, ""median_ratio"": 4.554344803843755, ""fcf_yield"": 0.006095939428641785, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": 98.0, ""brake_values"": {""gm"": 1.0616662321392316, ""fcf_margin"": 0.3708078415372955, ""roic"": 0.5986386231562422}}",False,"{""floor"": true, ""mom_sector_pct"": 100.0, ""eps_rev_proxy"": -1.0}"
AVGO,1730168,Broadcom,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,,5.9986310746064335,7772407291.700119,0.075983323081519,-0.22317202342045284,0.011926623982757789,10.0,0.6552755817864064,0.04380219303284204,0.37358333341981426,0.4232058287795993,0.2433527600609242,0.2926460483585944,0.33962422178173596,0.3181120242924162,9,9,False,0.21743712435641926,0.18336584083850394,0.03558850045624995,False,0.687702011133058,0.34702145807146706,0.19679251212066798,1.0494851788285027,0.9288997314061164,0.6724591472341628,1.5254562175210302,83.84615384615385,1.6011152921455163,16.058366222652722,260.0,,346.5150146484375,4773629865.0,1654134422596.6938,1690913422596.6938,136469000000.0,36779000000.0,40653000000.0,1250000000.0,8482000000.0,14636000000.0,36779000000.0,89104000000.0,42814000000.0,39403000000.0,30921000000.0,17535000000.0,57450000000.0,,40482287924.09004,0.05446143962045022,0.2966409069025936,39.494404227511886,54.684952705174275,0.018286566057601806,96.43076262313623,0.01037013472462235,,,0.6401914708442124,97801000000.0,26325000000.0,0.9095545508503763,5.0,0.1944604528766189,0.19356110283314357,61.15384615384616,1.3015030389469084,9.134380074996765,260.0,[],True,0.9,ig,Semiconductors and Semiconductor Equipment,41.66666666666667,100.0,85.71428571428571,46.15384615384615,67.85714285714286,,41.666666666666664,42.85714285714286,41.935483870967744,1.0,77.57226793089508,"{'profitability': 98.4, 'growth': 100.0, 'balance': 78.7, 'stability': 83.5}",40.799253025300594,True,-0.3547910243454835,77.97432519005504,34.0,59.18576047809783,2.0,False,"{""floor"": true, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": false, ""roic"": true}, ""self_pct"": 61.15384615384616, ""self_z"": 1.3015030389469084, ""median_ratio"": 9.134380074996765, ""fcf_yield"": 0.018286566057601806, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": 34.0, ""brake_values"": {""gm"": 1.0494851788285027, ""fcf_margin"": 0.9288997314061164, ""roic"": 1.5254562175210302}}",False,"{""floor"": true, ""mom_sector_pct"": 41.935483870967744, ""eps_rev_proxy"": 2.0}"
PLTR,1321655,Palantir Technologies,Information Technology,Application Software,Software and Services,,5.960301163586585,5435434471.040525,-0.01343273730161132,-0.13732727396448863,-0.051812034540631324,5.0,0.7995814556998394,0.01950015320188748,0.015295451418841144,0.09939991334878194,0.7776150853707844,0.01422133685402201,0.09120220475215414,2.7418460051889,7,7,True,0.3257731580149814,0.5986147953294314,,False,0.8479613433592037,0.4098070465587633,0.4120879326166381,1.0605065153956321,26.79273957576417,28.976736635001608,1.6640543855668235,,,,,,172.94000244140625,2402897000.0,415557013046.44775,406515868046.44775,733049000.0,-9041145000.0,3400291000.0,42019000.0,835524000.0,27978000.0,-9151835000.0,6155941000.0,2634652000.0,3358272000.0,2522748000.0,2536789000.0,2662630000.0,3016692000.0,2599391852.6702323,0.01338322758746415,3.546000134602506,154.2958493366288,161.14010120965224,0.006205779892734115,160.24819882396517,0.0062403197498557455,137.7525491652604,1.1132299883448493,-3.4371410973360925,37938000.0,14611000.0,0.07168552170455181,3.0,2.130940049411089,2.5811810115618212,,,,,[],True,0.9,ig,Software and Services,100.0,9.090909090909092,75.0,35.0,9.090909090909092,18.181818181818183,90.9090909090909,18.181818181818173,35.483870967741936,1.0,64.24891746169146,"{'profitability': 69.9, 'growth': 100.0, 'balance': 100.0, 'stability': 73.0}",,False,1.2801065689201092,44.7981843865592,,,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": true}, ""self_pct"": null, ""self_z"": null, ""median_ratio"": null, ""fcf_yield"": 0.006205779892734115, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": null, ""brake_values"": {""gm"": 1.0605065153956321, ""fcf_margin"": 26.79273957576417, ""roic"": 1.6640543855668235}}",False,"{""floor"": false, ""mom_sector_pct"": 35.483870967741936, ""eps_rev_proxy"": null}"
MRVL,1835632,Marvell Technology,Information Technology,Semiconductors,Semiconductors and Semiconductor Equipment,,5.9986310746064335,5321462396.199049,2.1988284633934447,-0.2829385994009578,2.0046370149476243,7.0,0.46138421412244135,0.08995587537354624,0.08918983351507066,0.0895668626258531,0.24861914685275566,-0.07183347378316172,-0.08071491316980878,,5,6,False,0.22514202663068583,0.14469332824590087,,False,0.5221104091933589,0.09536205199834925,0.027194903865485752,1.1316174095518625,1.0692031618405886,-0.37858260826389867,,,,,,,222.64999389648438,876900000.0,195241779647.82715,196595079647.82715,19884900000.0,1353300000.0,2200300000.0,470200000.0,828900000.0,1114400000.0,1353300000.0,9450300000.0,1561300000.0,1730100000.0,901200000.0,257000000.0,2675700000.0,2639900000.0,1368353945.381737,0.1235803846911311,0.06881372022900477,125.91755565735423,218.14811323549395,0.00458404148066358,764.9613994078877,0.0013072555043614515,73.95802100376042,0.6553657335505133,0.5057741899316067,13873900000.0,2078600000.0,0.8022419021468552,0.0,,,82.20338983050848,1.5413803946947258,1.9023271743671628,236.0,[],True,0.9,ig,Semiconductors and Semiconductor Equipment,,21.428571428571427,7.142857142857142,7.6923076923076925,21.428571428571427,15.384615384615385,50.0,7.142857142857139,93.54838709677419,1.0,48.45794296286093,"{'profitability': 35.1, 'growth': 100.0, 'balance': 83.1, 'stability': 70.2}",15.44789414845973,False,,,,31.952918555660332,,False,"{""floor"": false, ""depressed_arms"": {""self_pct"": false, ""self_z"": false, ""median_ratio"": false}, ""yield_arm"": false, ""residual_arm"": false, ""brakes"": {""gm"": true, ""fcf_margin"": true, ""roic"": false}, ""self_pct"": 82.20338983050848, ""self_z"": 1.5413803946947258, ""median_ratio"": 1.9023271743671628, ""fcf_yield"": 0.00458404148066358, ""yield_threshold"": 0.0495, ""gs10"": 0.0495, ""residual_pct"": null, ""brake_values"": {""gm"": 1.1316174095518625, ""fcf_margin"": 1.0692031618405886, ""roic"": null}}",False,"{""floor"": false, ""mom_sector_pct"": 93.54838709677419, ""eps_rev_proxy"": null}"
