ticker,reasons
FDXF,young listing (17 wks of prices; needs 60)
HONA,young listing (14 wks of prices; needs 60)
Q,young listing (47 wks of prices; needs 60)
NVDA,fcf_cagr5 gate
TSLA,fcf_cagr5 gate
MRVL,tenure<1y
WDC,rev_cagr5 gate
NFLX,fcf_cagr5 gate
WMT,fcf_cagr5 gate
GEV,rev_cagr5 gate; fcf_cagr5 gate
XOM,rev_cagr5 gate; fcf_cagr5 gate
APP,tenure<1y; fcf_cagr5 gate
UNH,fcf_cagr5 gate
TXN,fcf_cagr5 gate
COST,fcf_cagr5 gate
VRT,tenure<1y; fcf_cagr5 gate
KO,fcf_cagr5 gate
T,rev_cagr5 gate
HD,fcf_cagr5 gate
TER,fcf_cagr5 gate
BA,fcf_cagr5 gate
APH,fcf_cagr5 gate
HPE,fcf_cagr5 gate
DIS,fcf_cagr5 gate
CIEN,tenure<1y
VLO,fcf_cagr5 gate
TMUS,fcf_cagr5 gate
MCK,fcf_cagr5 gate
MPC,fcf_cagr5 gate
MCHP,rev_cagr5 gate; fcf_cagr5 gate
HWM,fcf_cagr5 gate
FIX,tenure<1y; rev_cagr5 gate
PWR,fcf_cagr5 gate
WDAY,fcf_cagr5 gate
CVS,fcf_cagr5 gate
SBUX,fcf_cagr5 gate
F,fcf_cagr5 gate
LOW,rev_cagr5 gate
ORLY,fcf_cagr5 gate
TGT,fcf_cagr5 gate
RCL,fcf_cagr5 gate
MO,rev_cagr5 gate
CSX,fcf_cagr5 gate
FERG,tenure<1y; rev_cagr5 gate; fcf_cagr5 gate
FDX,fcf_cagr5 gate
WMB,fcf_cagr5 gate
MMM,rev_cagr5 gate; fcf_cagr5 gate
DAL,fcf_cagr5 gate
AXON,fcf_cagr5 gate
FLEX,tenure<1y; fcf_cagr5 gate
ELV,fcf_cagr5 gate
UAL,fcf_cagr5 gate
HUM,fcf_cagr5 gate
CAH,fcf_cagr5 gate
EBAY,fcf_cagr5 gate
FSLR,fcf_cagr5 gate
COR,fcf_cagr5 gate
HPQ,rev_cagr5 gate; fcf_cagr5 gate
KMB,rev_cagr5 gate; fcf_cagr5 gate
CRH,tenure<1y; rev_cagr5 gate
KVUE,rev_cagr5 gate; fcf_cagr5 gate
KR,fcf_cagr5 gate
CHTR,rev_cagr5 gate; fcf_cagr5 gate
KDP,fcf_cagr5 gate
JBL,fcf_cagr5 gate
GWW,fcf_cagr5 gate
LYV,fcf_cagr5 gate
DLTR,rev_cagr5 gate; fcf_cagr5 gate
TSCO,fcf_cagr5 gate
TTD,mktcap<10B
TRGP,fcf_cagr5 gate
OKE,fcf_cagr5 gate
EME,tenure<1y; fcf_cagr5 gate
BBY,rev_cagr5 gate; fcf_cagr5 gate
ALB,fcf_cagr5 gate
DPZ,mktcap<10B
SYY,fcf_cagr5 gate
CHRW,fcf_cagr5 gate
GEHC,rev_cagr5 gate
STLD,fcf_cagr5 gate
EL,rev_cagr5 gate; fcf_cagr5 gate
NCLH,mktcap<10B; fcf_cagr5 gate
JBHT,fcf_cagr5 gate
LYB,fcf_cagr5 gate
CDW,fcf_cagr5 gate
GNRC,fcf_cagr5 gate
PODD,mktcap<10B; fcf_cagr5 gate
SW,rev_cagr5 gate; fcf_cagr5 gate
LVS,fcf_cagr5 gate
LH,rev_cagr5 gate; fcf_cagr5 gate
APA,rev_cagr5 gate; fcf_cagr5 gate
PNR,mktcap<10B
RVTY,fcf_cagr5 gate
APTV,mktcap<10B; fcf_cagr5 gate
PPG,fcf_cagr5 gate
BLDR,mktcap<10B; fcf_cagr5 gate
TSN,fcf_cagr5 gate
TRMB,fcf_cagr5 gate
VLTO,rev_cagr5 gate
HAS,rev_cagr5 gate
AMCR,fcf_cagr5 gate
WYNN,mktcap<10B; fcf_cagr5 gate
FTV,rev_cagr5 gate; fcf_cagr5 gate
